"","feature","sentiment"
"21195"," abflauen ","-1"
"17578"," abfluss ","-1"
"17579"," abflussgraben ","-1"
"17580"," abforderung ","-1"
"17581"," abformung ","-1"
"17582"," abfuhr ","-1"
"21213"," abführ ","-1"
"21214"," abführe ","-1"
"17583"," abfuhren ","-1"
"21215"," abführen ","-1"
"21216"," abführest ","-1"
"21217"," abführet ","-1"
"21218"," abführst ","-1"
"21219"," abführt ","-1"
"21220"," abführte ","-1"
"21221"," abführten ","-1"
"21222"," abführtest ","-1"
"21223"," abführtet ","-1"
"17587"," abgang ","-1"
"17588"," abgas ","-1"
"17589"," abgaskanal ","-1"
"21224"," abgearbeitet ","-1"
"21225"," abgebrannt ","-1"
"21226"," abgebrochen ","-1"
"21227"," abgebrüht ","-1"
"21228"," abgedankt ","-1"
"21229"," abgedroschen ","-1"
"21230"," abgedroschene ","-1"
"21231"," abgedroschenem ","-1"
"21232"," abgedroschenen ","-1"
"21233"," abgedroschener ","-1"
"21234"," abgedroschenere ","-1"
"21235"," abgedroschenerem ","-1"
"21236"," abgedroscheneren ","-1"
"21237"," abgedroschenerer ","-1"
"21238"," abgedroscheneres ","-1"
"21239"," abgedroschenes ","-1"
"21240"," abgedroschenst ","-1"
"21241"," abgedroschenste ","-1"
"21242"," abgedroschenstem ","-1"
"21243"," abgedroschensten ","-1"
"21244"," abgedroschenster ","-1"
"21245"," abgedroschenstes ","-1"
"21246"," abgedroschner ","-1"
"21247"," abgedroschnere ","-1"
"21248"," abgedroschnerem ","-1"
"21249"," abgedroschneren ","-1"
"21250"," abgedroschnerer ","-1"
"21251"," abgedroschneres ","-1"
"2004"," abgefahren ","1"
"21252"," abgeführt ","-1"
"21253"," abgehackt ","-1"
"21255"," abgehärmt ","-1"
"21256"," abgehärtet ","-1"
"2005"," abgeheilt ","1"
"2006"," abgehend ","1"
"21254"," abgehoben ","-1"
"21257"," abgekämpft ","-1"
"2"," abgeklärtheit ","1"
"2007"," abgelagert ","1"
"21258"," abgelaufen ","-1"
"21259"," abgelegen ","-1"
"21260"," abgelehnt ","-1"
"21261"," abgelenkt ","-1"
"21262"," abgelten ","-1"
"2008"," abgemacht ","1"
"21263"," abgemagert ","-1"
"21264"," abgemergelt ","-1"
"21265"," abgeneigt ","-1"
"21266"," abgenutzt ","-1"
"21267"," abgerissen ","-1"
"21268"," abgeschieden ","-1"
"17590"," abgeschiedenheit ","-1"
"17591"," abgeschlagenheit ","-1"
"21269"," abgeschliffen ","-1"
"21270"," abgeschlossen ","-1"
"3"," abgeschlossenheit ","1"
"21271"," abgeschmackt ","-1"
"21272"," abgeschnitten ","-1"
"21273"," abgeschottet ","-1"
"21274"," abgeschreckt ","-1"
"21275"," abgeschwächt ","-1"
"21276"," abgesehen ","-1"
"2010"," abgesichert ","1"
"21277"," abgesondert ","-1"
"21278"," abgespannt ","-1"
"17592"," abgespanntheit ","-1"
"21279"," abgestanden ","-1"
"21280"," abgestandene ","-1"
"21281"," abgestandenem ","-1"
"21282"," abgestandenen ","-1"
"21283"," abgestandener ","-1"
"21284"," abgestandenere ","-1"
"21285"," abgestandenerem ","-1"
"21286"," abgestandeneren ","-1"
"21287"," abgestandenerer ","-1"
"21288"," abgestandeneres ","-1"
"21289"," abgestandenes ","-1"
"21290"," abgestandenst ","-1"
"21291"," abgestandenste ","-1"
"21292"," abgestandenstem ","-1"
"21293"," abgestandensten ","-1"
"21294"," abgestandenster ","-1"
"21295"," abgestandenstes ","-1"
"21296"," abgestandner ","-1"
"21297"," abgestandnere ","-1"
"21298"," abgestandnerem ","-1"
"21299"," abgestandneren ","-1"
"21300"," abgestandnerer ","-1"
"21301"," abgestandneres ","-1"
"2011"," abgestimmt ","1"
"21302"," abgestorben ","-1"
"21303"," abgestoßen ","-1"
"21304"," abgestuft ","-1"
"21305"," abgestumpft ","-1"
"17593"," abgestumpftheit ","-1"
"21306"," abgestürzt ","-1"
"21307"," abgetakelt ","-1"
"21308"," abgetakelte ","-1"
"21309"," abgetakeltem ","-1"
"21310"," abgetakelten ","-1"
"21311"," abgetakelter ","-1"
"21312"," abgetakeltere ","-1"
"21313"," abgetakelterem ","-1"
"21314"," abgetakelteren ","-1"
"21315"," abgetakelterer ","-1"
"21316"," abgetakelteres ","-1"
"21317"," abgetakeltes ","-1"
"21318"," abgetakeltst ","-1"
"21319"," abgetakeltste ","-1"
"21320"," abgetakeltstem ","-1"
"21321"," abgetakeltsten ","-1"
"21322"," abgetakeltster ","-1"
"21323"," abgetakeltstes ","-1"
"21324"," abgeteilt ","-1"
"21325"," abgetragen ","-1"
"21326"," abgewertet ","-1"
"21327"," abgewinkelt ","-1"
"2012"," abgeworben ","1"
"21328"," abgezehrt ","-1"
"4"," abgleich ","1"
"2013"," abgleichen ","1"
"21329"," abgleiten ","-1"
"5"," abgott ","1"
"17594"," abgrabung ","-1"
"21330"," abgrenzen ","-1"
"17595"," abgrenzung ","-1"
"17596"," abgrund ","-1"
"21332"," abgründig ","-1"
"21333"," abgründige ","-1"
"21334"," abgründigem ","-1"
"21335"," abgründigen ","-1"
"21336"," abgründiger ","-1"
"21337"," abgründigere ","-1"
"21338"," abgründigerem ","-1"
"21339"," abgründigeren ","-1"
"21340"," abgründigerer ","-1"
"21341"," abgründigeres ","-1"
"21342"," abgründiges ","-1"
"21343"," abgründigst ","-1"
"21344"," abgründigste ","-1"
"21345"," abgründigstem ","-1"
"21346"," abgründigsten ","-1"
"21347"," abgründigster ","-1"
"21348"," abgründigstes ","-1"
"21331"," abgrundtief ","-1"
"17597"," abgunst ","-1"
"21349"," abgünstig ","-1"
"17598"," abhaltung ","-1"
"21353"," abhängig ","-1"
"21354"," abhängige ","-1"
"21355"," abhängigem ","-1"
"21356"," abhängigen ","-1"
"21357"," abhängiger ","-1"
"21358"," abhängigere ","-1"
"21359"," abhängigerem ","-1"
"21360"," abhängigeren ","-1"
"21361"," abhängigerer ","-1"
"21362"," abhängigeres ","-1"
"21363"," abhängiges ","-1"
"17599"," abhängigkeit ","-1"
"17600"," abhängigkeiten ","-1"
"17601"," abhängigkeitssyndrom ","-1"
"21364"," abhängigst ","-1"
"21365"," abhängigste ","-1"
"21366"," abhängigstem ","-1"
"21367"," abhängigsten ","-1"
"21368"," abhängigster ","-1"
"21369"," abhängigstes ","-1"
"2015"," abhärten ","1"
"2014"," abheilen ","1"
"6"," abhilfe ","1"
"7"," abhilfemaßnahme ","1"
"21350"," abhold ","-1"
"17602"," abhörgerät ","-1"
"21351"," abhorreszieren ","-1"
"21352"," abhorreszierte ","-1"
"17603"," abhörsender ","-1"
"17604"," abhörwanze ","-1"
"17605"," abkehr ","-1"
"17606"," abklatsch ","-1"
"21370"," abklingen ","-1"
"8"," abkomme ","1"
"9"," abkommen ","1"
"2016"," abkömmlich ","1"
"2017"," abkühlen ","1"
"10"," abkühlung ","1"
"17607"," abladeplatz ","-1"
"17608"," ablagerung ","-1"
"17609"," ablass ","-1"
"21371"," ablaufen ","-1"
"2018"," ablauffähig ","1"
"17616"," abläutern ","-1"
"21372"," ableben ","-1"
"11"," ableger ","1"
"21373"," ablehn ","-1"
"21374"," ablehne ","-1"
"21375"," ablehnen ","-1"
"21376"," ablehnend ","-1"
"21377"," ablehnest ","-1"
"21378"," ablehnet ","-1"
"21379"," ablehnst ","-1"
"21380"," ablehnt ","-1"
"21381"," ablehnte ","-1"
"21382"," ablehnten ","-1"
"21383"," ablehntest ","-1"
"21384"," ablehntet ","-1"
"17610"," ablehnung ","-1"
"17611"," ablehnungen ","-1"
"17612"," ablehnungsrecht ","-1"
"2019"," ableichtern ","1"
"17613"," ableitung ","-1"
"21385"," ablenk ","-1"
"21386"," ablenke ","-1"
"21387"," ablenken ","-1"
"21388"," ablenkend ","-1"
"21389"," ablenkest ","-1"
"21390"," ablenket ","-1"
"21391"," ablenkst ","-1"
"21392"," ablenkt ","-1"
"21393"," ablenkte ","-1"
"21394"," ablenkten ","-1"
"21395"," ablenktest ","-1"
"21396"," ablenktet ","-1"
"17614"," ablenkung ","-1"
"17615"," ablenkungen ","-1"
"2020"," ableuchten ","1"
"21397"," ableugnen ","-1"
"2021"," ablocken ","1"
"21398"," ablöschen ","-1"
"12"," ablösung ","1"
"2022"," abmach ","1"
"2023"," abmache ","1"
"2024"," abmachen ","1"
"2025"," abmachest ","1"
"2026"," abmachet ","1"
"2027"," abmachst ","1"
"2028"," abmacht ","1"
"2029"," abmachte ","1"
"2030"," abmachten ","1"
"2031"," abmachtest ","1"
"2032"," abmachtet ","1"
"13"," abmachung ","1"
"14"," abmachungen ","1"
"17617"," abmagerung ","-1"
"21399"," abmahnen ","-1"
"17618"," abmahnung ","-1"
"21400"," abmaß ","-1"
"17619"," abnahme ","-1"
"17620"," abnahmen ","-1"
"17621"," abnahmeverweigerung ","-1"
"21401"," abnehmen ","-1"
"21402"," abnehmend ","-1"
"21403"," abnehmender ","-1"
"17622"," abneigung ","-1"
"17623"," abneigungen ","-1"
"21404"," abnorm ","-1"
"21415"," abnötigen ","-1"
"21405"," abnutz ","-1"
"21406"," abnutze ","-1"
"21407"," abnutzen ","-1"
"21408"," abnutzest ","-1"
"21409"," abnutzet ","-1"
"21410"," abnutzt ","-1"
"21411"," abnutzte ","-1"
"21412"," abnutzten ","-1"
"21413"," abnutztest ","-1"
"21414"," abnutztet ","-1"
"17624"," abnutzung ","-1"
"17625"," abnützung ","-1"
"2033"," abprägen ","1"
"17626"," abquetschgrat ","-1"
"17627"," abquetschring ","-1"
"21416"," abrasiv ","-1"
"17628"," abrasivstoff ","-1"
"21417"," abraten ","-1"
"21418"," abratend ","-1"
"17629"," abraum ","-1"
"17630"," abrede ","-1"
"21419"," abreiben ","-1"
"21420"," abreibend ","-1"
"21421"," abreichern ","-1"
"21422"," abreissen ","-1"
"21423"," abrieb ","-1"
"2034"," abriebfest ","1"
"17631"," abriegelung ","-1"
"17632"," abriss ","-1"
"17633"," abrisse ","-1"
"17634"," abrissen ","-1"
"17635"," abrisses ","-1"
"17636"," abrisss ","-1"
"21424"," abrupt ","-1"
"21425"," abrupte ","-1"
"21426"," abruptem ","-1"
"21427"," abrupten ","-1"
"21428"," abrupter ","-1"
"21429"," abruptere ","-1"
"21430"," abrupterem ","-1"
"21431"," abrupteren ","-1"
"21432"," abrupterer ","-1"
"21433"," abrupteres ","-1"
"21434"," abruptes ","-1"
"21435"," abruptest ","-1"
"21436"," abrupteste ","-1"
"21437"," abruptestem ","-1"
"21438"," abruptesten ","-1"
"21439"," abruptester ","-1"
"21440"," abruptestes ","-1"
"21441"," abrüsten ","-1"
"17637"," abrutsch ","-1"
"17638"," abrutsche ","-1"
"17639"," abrutschen ","-1"
"17640"," abrutsches ","-1"
"17641"," abrutschs ","-1"
"17642"," absackung ","-1"
"21442"," absage ","-1"
"21443"," absagen ","-1"
"2035"," absatzfähig ","1"
"21444"," absatzweise ","-1"
"21445"," abschaffen ","-1"
"17644"," abschaffung ","-1"
"17645"," abschaffungen ","-1"
"21478"," abschälen ","-1"
"21446"," abschalten ","-1"
"17646"," abschaltung ","-1"
"2039"," abschätzbar ","1"
"21479"," abschätzig ","-1"
"21480"," abschätzige ","-1"
"21481"," abschätzigem ","-1"
"21482"," abschätzigen ","-1"
"21483"," abschätziger ","-1"
"21484"," abschätzigere ","-1"
"21485"," abschätzigerem ","-1"
"21486"," abschätzigeren ","-1"
"21487"," abschätzigerer ","-1"
"21488"," abschätzigeres ","-1"
"21489"," abschätziges ","-1"
"21490"," abschätzigst ","-1"
"21491"," abschätzigste ","-1"
"21492"," abschätzigstem ","-1"
"21493"," abschätzigsten ","-1"
"21494"," abschätzigster ","-1"
"21495"," abschätzigstes ","-1"
"17661"," abschätzung ","-1"
"17647"," abschaum ","-1"
"2036"," abscheiden ","1"
"17648"," abscheu ","-1"
"21447"," abscheuern ","-1"
"21448"," abscheuerregend ","-1"
"21449"," abscheulich ","-1"
"17649"," abscheulichkeit ","-1"
"21450"," abschießen ","-1"
"2037"," abschirmen ","1"
"15"," abschirmung ","1"
"21451"," abschlägig ","-1"
"2038"," abschließen ","1"
"16"," abschluss ","1"
"17"," abschluß ","1"
"20"," abschlüße ","1"
"21"," abschlüßen ","1"
"18"," abschlußes ","1"
"19"," abschlußs ","1"
"21452"," abschreck ","-1"
"21453"," abschrecke ","-1"
"21454"," abschrecken ","-1"
"21455"," abschreckend ","-1"
"21456"," abschreckest ","-1"
"21457"," abschrecket ","-1"
"21458"," abschreckst ","-1"
"21459"," abschreckt ","-1"
"21460"," abschreckte ","-1"
"21461"," abschreckten ","-1"
"21462"," abschrecktest ","-1"
"21463"," abschrecktet ","-1"
"17650"," abschreckung ","-1"
"17651"," abschreckungen ","-1"
"17652"," abschreckungsmittel ","-1"
"21464"," abschreiben ","-1"
"17653"," abschreibung ","-1"
"17654"," abschreibungen ","-1"
"17655"," abschroter ","-1"
"17656"," abschuss ","-1"
"17657"," abschuß ","-1"
"21496"," abschüssig ","-1"
"21466"," abschwäch ","-1"
"21467"," abschwäche ","-1"
"21468"," abschwächen ","-1"
"21469"," abschwächest ","-1"
"21470"," abschwächet ","-1"
"21471"," abschwächst ","-1"
"21472"," abschwächt ","-1"
"21473"," abschwächte ","-1"
"21474"," abschwächten ","-1"
"21475"," abschwächtest ","-1"
"21476"," abschwächtet ","-1"
"17659"," abschwächung ","-1"
"17660"," abschwächungen ","-1"
"21465"," abschweifen ","-1"
"21477"," abschwören ","-1"
"17658"," abschwung ","-1"
"2040"," absehbar ","1"
"21497"," abseits ","-1"
"21498"," absenken ","-1"
"17662"," absenkung ","-1"
"17663"," absenkungen ","-1"
"2041"," absetzbar ","1"
"17664"," absetzung ","-1"
"2042"," absichern ","1"
"22"," absicherung ","1"
"21499"," absinken ","-1"
"2043"," absolut ","1"
"2044"," absolute ","1"
"2045"," absolutem ","1"
"2046"," absoluten ","1"
"2047"," absoluter ","1"
"2048"," absolutere ","1"
"2049"," absoluterem ","1"
"2050"," absoluteren ","1"
"2051"," absoluterer ","1"
"2052"," absoluteres ","1"
"2053"," absolutes ","1"
"2054"," absolutest ","1"
"2055"," absoluteste ","1"
"2056"," absolutestem ","1"
"2057"," absolutesten ","1"
"2058"," absolutester ","1"
"2059"," absolutestes ","1"
"2060"," absolvieren ","1"
"2061"," absolvierte ","1"
"21500"," absonderlich ","-1"
"21501"," absondern ","-1"
"17665"," absonderung ","-1"
"21502"," abspalten ","-1"
"17666"," abspaltung ","-1"
"17667"," abspaltungen ","-1"
"2062"," abspannen ","1"
"21503"," abspenstig ","-1"
"21504"," absperren ","-1"
"17668"," absperrung ","-1"
"17669"," absperrungen ","-1"
"23"," absprache ","1"
"21536"," abständig ","-1"
"21505"," absteigen ","-1"
"17670"," abstieg ","-1"
"17671"," abstiege ","-1"
"17672"," abstiegen ","-1"
"17673"," abstieges ","-1"
"17674"," abstiegs ","-1"
"17675"," abstoß ","-1"
"17688"," abstöße ","-1"
"21506"," abstoßen ","-1"
"17689"," abstößen ","-1"
"21507"," abstoßend ","-1"
"21508"," abstoßende ","-1"
"21509"," abstoßendem ","-1"
"21510"," abstoßenden ","-1"
"21511"," abstoßender ","-1"
"21512"," abstoßendere ","-1"
"21513"," abstoßenderem ","-1"
"21514"," abstoßenderen ","-1"
"21515"," abstoßenderer ","-1"
"21516"," abstoßenderes ","-1"
"21517"," abstoßendes ","-1"
"21518"," abstoßendst ","-1"
"21519"," abstoßendste ","-1"
"21520"," abstoßendstem ","-1"
"21521"," abstoßendsten ","-1"
"21522"," abstoßendster ","-1"
"21523"," abstoßendstes ","-1"
"17676"," abstoßes ","-1"
"17677"," abstoßs ","-1"
"17678"," abstrich ","-1"
"17679"," abstriche ","-1"
"17680"," abstrichen ","-1"
"17681"," abstriches ","-1"
"17682"," abstrichs ","-1"
"21524"," abstrus ","-1"
"17683"," abstufung ","-1"
"21525"," abstumpf ","-1"
"21526"," abstumpfe ","-1"
"21527"," abstumpfen ","-1"
"21528"," abstumpfest ","-1"
"21529"," abstumpfet ","-1"
"21530"," abstumpfst ","-1"
"21531"," abstumpft ","-1"
"21532"," abstumpfte ","-1"
"21533"," abstumpften ","-1"
"21534"," abstumpftest ","-1"
"21535"," abstumpftet ","-1"
"17684"," abstumpfung ","-1"
"17685"," absturz ","-1"
"21537"," abstürz ","-1"
"17690"," abstürze ","-1"
"17691"," abstürzen ","-1"
"17686"," absturzes ","-1"
"21538"," abstürzest ","-1"
"21539"," abstürzet ","-1"
"17687"," absturzs ","-1"
"21540"," abstürzt ","-1"
"21541"," abstürzte ","-1"
"21542"," abstürzten ","-1"
"21543"," abstürztest ","-1"
"21544"," abstürztet ","-1"
"2074"," abstützen ","1"
"26"," abstützung ","1"
"27"," abstützvorrichtung ","1"
"21545"," absurd ","-1"
"21546"," absurde ","-1"
"21547"," absurdem ","-1"
"21548"," absurden ","-1"
"21549"," absurder ","-1"
"21550"," absurdere ","-1"
"21551"," absurderem ","-1"
"21552"," absurderen ","-1"
"21553"," absurderer ","-1"
"21554"," absurderes ","-1"
"21555"," absurdes ","-1"
"21556"," absurdest ","-1"
"21557"," absurdeste ","-1"
"21558"," absurdestem ","-1"
"21559"," absurdesten ","-1"
"21560"," absurdester ","-1"
"21561"," absurdestes ","-1"
"17692"," absurdität ","-1"
"17693"," absurditäten ","-1"
"21564"," abtöten ","-1"
"17694"," abtrag ","-1"
"21562"," abtragen ","-1"
"21563"," abträglich ","-1"
"17695"," abtragung ","-1"
"17697"," abtrünnigkeit ","-1"
"28"," abundanz ","1"
"21565"," aburteilen ","-1"
"17698"," aburteilung ","-1"
"21587"," abwärts ","-1"
"17714"," abwärtstrend ","-1"
"29"," abwechslung ","1"
"21566"," abwechslungslos ","-1"
"2075"," abwechslungsreich ","1"
"2076"," abwechslungsreiche ","1"
"2077"," abwechslungsreichem ","1"
"2078"," abwechslungsreichen ","1"
"2079"," abwechslungsreicher ","1"
"2080"," abwechslungsreichere ","1"
"2081"," abwechslungsreicherem ","1"
"2082"," abwechslungsreicheren ","1"
"2083"," abwechslungsreicherer ","1"
"2084"," abwechslungsreicheres ","1"
"2085"," abwechslungsreiches ","1"
"2086"," abwechslungsreichst ","1"
"2087"," abwechslungsreichste ","1"
"2088"," abwechslungsreichstem ","1"
"2089"," abwechslungsreichsten ","1"
"2090"," abwechslungsreichster ","1"
"2091"," abwechslungsreichstes ","1"
"17699"," abweg ","-1"
"21567"," abwegig ","-1"
"17700"," abwehr ","-1"
"2092"," abwehrend ","1"
"17701"," abwehrkampf ","-1"
"17702"," abwehrschanze ","-1"
"21568"," abweichen ","-1"
"21569"," abweichend ","-1"
"21570"," abweichende ","-1"
"17703"," abweichler ","-1"
"17704"," abweichlerin ","-1"
"17705"," abweichung ","-1"
"17706"," abweichungen ","-1"
"21571"," abweisen ","-1"
"2093"," abweisend ","1"
"17707"," abweisung ","-1"
"17708"," abweisungen ","-1"
"17709"," abwendung ","-1"
"2094"," abwerben ","1"
"21572"," abwert ","-1"
"21573"," abwerte ","-1"
"21574"," abwerten ","-1"
"21575"," abwertend ","-1"
"21576"," abwertest ","-1"
"21577"," abwertet ","-1"
"21578"," abwertete ","-1"
"21579"," abwerteten ","-1"
"21580"," abwertetest ","-1"
"21581"," abwertetet ","-1"
"21582"," abwertte ","-1"
"21583"," abwertten ","-1"
"21584"," abwerttest ","-1"
"21585"," abwerttet ","-1"
"17710"," abwertung ","-1"
"17711"," abwertungen ","-1"
"17712"," abwesende ","-1"
"17713"," abwesenheit ","-1"
"21586"," abwinkeln ","-1"
"21588"," abyssisch ","-1"
"21589"," abzetteln ","-1"
"2096"," abziehbar ","1"
"21590"," abziehen ","-1"
"17715"," abzocke ","-1"
"17716"," abzug ","-1"
"21591"," abzüglich ","-1"
"2097"," abzugsfähig ","1"
"17717"," abzweig ","-1"
"17718"," ach ","-1"
"17719"," achillessehne ","-1"
"17720"," achselzucken ","-1"
"2098"," achtbar ","1"
"37119"," ächten ","-1"
"17721"," achterbahn ","-1"
"21592"," achterliche ","-1"
"17722"," achterliek ","-1"
"21593"," achtlos ","-1"
"21594"," achtlose ","-1"
"21595"," achtlosem ","-1"
"21596"," achtlosen ","-1"
"21597"," achtloser ","-1"
"21598"," achtlosere ","-1"
"21599"," achtloserem ","-1"
"21600"," achtloseren ","-1"
"21601"," achtloserer ","-1"
"21602"," achtloseres ","-1"
"21603"," achtloses ","-1"
"21604"," achtlosest ","-1"
"21605"," achtloseste ","-1"
"21606"," achtlosestem ","-1"
"21607"," achtlosesten ","-1"
"21608"," achtlosester ","-1"
"21609"," achtlosestes ","-1"
"17723"," achtlosigkeit ","-1"
"2099"," achtsam ","1"
"30"," achtsamkeit ","1"
"17724"," achtung ","-1"
"37072"," ächtung ","-1"
"2100"," achtungsvoll ","1"
"37120"," ächzen ","-1"
"31"," adaptation ","1"
"32"," adaptationsfähigkeit ","1"
"2101"," adaptiv ","1"
"2133"," adäquat ","1"
"2102"," addier ","1"
"2103"," addiere ","1"
"2104"," addieren ","1"
"2105"," addierest ","1"
"2106"," addieret ","1"
"2107"," addierst ","1"
"2108"," addiert ","1"
"2109"," addierte ","1"
"2110"," addierten ","1"
"2111"," addiertest ","1"
"2112"," addiertet ","1"
"2113"," adeln ","1"
"2114"," adelte ","1"
"33"," adept ","1"
"17725"," aderlasser ","-1"
"34"," adhäsion ","1"
"21610"," adipös ","-1"
"2115"," adlig ","1"
"2116"," adrett ","1"
"2117"," adrette ","1"
"2118"," adrettem ","1"
"2119"," adretten ","1"
"2120"," adretter ","1"
"2121"," adrettere ","1"
"2122"," adretterem ","1"
"2123"," adretteren ","1"
"2124"," adretterer ","1"
"2125"," adretteres ","1"
"2126"," adrettes ","1"
"2127"," adrettest ","1"
"2128"," adretteste ","1"
"2129"," adrettestem ","1"
"2130"," adrettesten ","1"
"2131"," adrettester ","1"
"2132"," adrettestes ","1"
"17726"," advokatur ","-1"
"17732"," affäre ","-1"
"17733"," affären ","-1"
"17727"," affe ","-1"
"21611"," affektbeladen ","-1"
"21612"," affektiert ","-1"
"17728"," affektiertheit ","-1"
"21613"," affektive ","-1"
"17729"," affentheater ","-1"
"17730"," affenzahn ","-1"
"21614"," affig ","-1"
"35"," affirmation ","1"
"17731"," affront ","-1"
"17734"," aggression ","-1"
"17735"," aggressionen ","-1"
"21616"," aggressiv-paranoide ","-1"
"21615"," aggressiv ","-1"
"21617"," aggressive ","-1"
"21618"," aggressivem ","-1"
"21619"," aggressiven ","-1"
"21620"," aggressiver ","-1"
"21621"," aggressivere ","-1"
"21622"," aggressiverem ","-1"
"21623"," aggressiveren ","-1"
"21624"," aggressiverer ","-1"
"21625"," aggressiveres ","-1"
"21626"," aggressives ","-1"
"17736"," aggressivität ","-1"
"17737"," aggressivitäten ","-1"
"21627"," aggressivst ","-1"
"21628"," aggressivste ","-1"
"21629"," aggressivstem ","-1"
"21630"," aggressivsten ","-1"
"21631"," aggressivster ","-1"
"21632"," aggressivstes ","-1"
"17738"," aggressor ","-1"
"17739"," aggressoren ","-1"
"17740"," aggressors ","-1"
"2134"," agil ","1"
"2135"," agile ","1"
"2136"," agilem ","1"
"2137"," agilen ","1"
"2138"," agiler ","1"
"2139"," agilere ","1"
"2140"," agilerem ","1"
"2141"," agileren ","1"
"2142"," agilerer ","1"
"2143"," agileres ","1"
"2144"," agiles ","1"
"36"," agilität ","1"
"2145"," agilst ","1"
"2146"," agilste ","1"
"2147"," agilstem ","1"
"2148"," agilsten ","1"
"2149"," agilster ","1"
"2150"," agilstes ","1"
"21633"," agitans ","-1"
"17741"," agitatio ","-1"
"17742"," agitation ","-1"
"17743"," agitationen ","-1"
"17744"," agitator ","-1"
"21634"," agitiert ","-1"
"17745"," agonie ","-1"
"21635"," ahnden ","-1"
"21636"," ahndete ","-1"
"17746"," ahndung ","-1"
"2151"," ahnen ","1"
"21637"," ahnend ","-1"
"17250"," ähnlichkeit ","1"
"2152"," ahnte ","1"
"21638"," ahnungslos ","-1"
"17747"," ahnungslosigkeit ","-1"
"2153"," ahnungsvoll ","1"
"37"," akklamation ","1"
"2154"," akklamieren ","1"
"2155"," akklamiert ","1"
"2156"," akkurat ","1"
"2157"," akkurate ","1"
"2158"," akkuratem ","1"
"2159"," akkuraten ","1"
"2160"," akkurater ","1"
"2161"," akkuratere ","1"
"2162"," akkuraterem ","1"
"2163"," akkurateren ","1"
"2164"," akkuraterer ","1"
"2165"," akkurateres ","1"
"2166"," akkurates ","1"
"2167"," akkuratest ","1"
"2168"," akkurateste ","1"
"2169"," akkuratestem ","1"
"2170"," akkuratesten ","1"
"2171"," akkuratester ","1"
"2172"," akkuratestes ","1"
"38"," akquisition ","1"
"2173"," akribisch ","1"
"2174"," aktiv ","1"
"2175"," aktive ","1"
"2176"," aktivem ","1"
"2177"," aktiven ","1"
"2178"," aktiver ","1"
"2179"," aktivere ","1"
"2180"," aktiverem ","1"
