"","pattern","replacement","feature","sentiment"
"21177"," (nicht|nichts|kein|keine|keinen) abdanken "," NOT_abdanken "," NOT_abdanken ",1
"21178"," (nicht|nichts|kein|keine|keinen) abdankest "," NOT_abdankest "," NOT_abdankest ",1
"21179"," (nicht|nichts|kein|keine|keinen) abdanket "," NOT_abdanket "," NOT_abdanket ",1
"21180"," (nicht|nichts|kein|keine|keinen) abdankst "," NOT_abdankst "," NOT_abdankst ",1
"21181"," (nicht|nichts|kein|keine|keinen) abdankt "," NOT_abdankt "," NOT_abdankt ",1
"21182"," (nicht|nichts|kein|keine|keinen) abdankte "," NOT_abdankte "," NOT_abdankte ",1
"21183"," (nicht|nichts|kein|keine|keinen) abdankten "," NOT_abdankten "," NOT_abdankten ",1
"21184"," (nicht|nichts|kein|keine|keinen) abdanktest "," NOT_abdanktest "," NOT_abdanktest ",1
"21185"," (nicht|nichts|kein|keine|keinen) abdanktet "," NOT_abdanktet "," NOT_abdanktet ",1
"17558"," (nicht|nichts|kein|keine|keinen) abdankung "," NOT_abdankung "," NOT_abdankung ",1
"17559"," (nicht|nichts|kein|keine|keinen) abdankungen "," NOT_abdankungen "," NOT_abdankungen ",1
"21186"," (nicht|nichts|kein|keine|keinen) abdecken "," NOT_abdecken "," NOT_abdecken ",1
"21187"," (nicht|nichts|kein|keine|keinen) abdrosseln "," NOT_abdrosseln "," NOT_abdrosseln ",1
"21189"," (nicht|nichts|kein|keine|keinen) abebben "," NOT_abebben "," NOT_abebben ",1
"17562"," (nicht|nichts|kein|keine|keinen) abenteuerlichkeit "," NOT_abenteuerlichkeit "," NOT_abenteuerlichkeit ",1
"17563"," (nicht|nichts|kein|keine|keinen) abenteuerpolitik "," NOT_abenteuerpolitik "," NOT_abenteuerpolitik ",1
"17564"," (nicht|nichts|kein|keine|keinen) aberglaube "," NOT_aberglaube "," NOT_aberglaube ",1
"21190"," (nicht|nichts|kein|keine|keinen) abergläubig "," NOT_abergläubig "," NOT_abergläubig ",1
"21191"," (nicht|nichts|kein|keine|keinen) abergläubisch "," NOT_abergläubisch "," NOT_abergläubisch ",1
"21192"," (nicht|nichts|kein|keine|keinen) aberkennen "," NOT_aberkennen "," NOT_aberkennen ",1
"17565"," (nicht|nichts|kein|keine|keinen) aberkennung "," NOT_aberkennung "," NOT_aberkennung ",1
"17566"," (nicht|nichts|kein|keine|keinen) aberration "," NOT_aberration "," NOT_aberration ",1
"21193"," (nicht|nichts|kein|keine|keinen) aberwitzig "," NOT_aberwitzig "," NOT_aberwitzig ",1
"17567"," (nicht|nichts|kein|keine|keinen) abfall "," NOT_abfall "," NOT_abfall ",1
"17568"," (nicht|nichts|kein|keine|keinen) abfallbrennstoff "," NOT_abfallbrennstoff "," NOT_abfallbrennstoff ",1
"17584"," (nicht|nichts|kein|keine|keinen) abfälle "," NOT_abfälle "," NOT_abfälle ",1
"21194"," (nicht|nichts|kein|keine|keinen) abfallen "," NOT_abfallen "," NOT_abfallen ",1
"17585"," (nicht|nichts|kein|keine|keinen) abfällen "," NOT_abfällen "," NOT_abfällen ",1
"17569"," (nicht|nichts|kein|keine|keinen) abfalles "," NOT_abfalles "," NOT_abfalles ",1
"21196"," (nicht|nichts|kein|keine|keinen) abfällig "," NOT_abfällig "," NOT_abfällig ",1
"21197"," (nicht|nichts|kein|keine|keinen) abfällige "," NOT_abfällige "," NOT_abfällige ",1
"21198"," (nicht|nichts|kein|keine|keinen) abfälligem "," NOT_abfälligem "," NOT_abfälligem ",1
"21199"," (nicht|nichts|kein|keine|keinen) abfälligen "," NOT_abfälligen "," NOT_abfälligen ",1
"21200"," (nicht|nichts|kein|keine|keinen) abfälliger "," NOT_abfälliger "," NOT_abfälliger ",1
"21201"," (nicht|nichts|kein|keine|keinen) abfälligere "," NOT_abfälligere "," NOT_abfälligere ",1
"21202"," (nicht|nichts|kein|keine|keinen) abfälligerem "," NOT_abfälligerem "," NOT_abfälligerem ",1
"21203"," (nicht|nichts|kein|keine|keinen) abfälligeren "," NOT_abfälligeren "," NOT_abfälligeren ",1
"21204"," (nicht|nichts|kein|keine|keinen) abfälligerer "," NOT_abfälligerer "," NOT_abfälligerer ",1
"21205"," (nicht|nichts|kein|keine|keinen) abfälligeres "," NOT_abfälligeres "," NOT_abfälligeres ",1
"21206"," (nicht|nichts|kein|keine|keinen) abfälliges "," NOT_abfälliges "," NOT_abfälliges ",1
"21207"," (nicht|nichts|kein|keine|keinen) abfälligst "," NOT_abfälligst "," NOT_abfälligst ",1
"21208"," (nicht|nichts|kein|keine|keinen) abfälligste "," NOT_abfälligste "," NOT_abfälligste ",1
"21209"," (nicht|nichts|kein|keine|keinen) abfälligstem "," NOT_abfälligstem "," NOT_abfälligstem ",1
"21210"," (nicht|nichts|kein|keine|keinen) abfälligsten "," NOT_abfälligsten "," NOT_abfälligsten ",1
"21211"," (nicht|nichts|kein|keine|keinen) abfälligster "," NOT_abfälligster "," NOT_abfälligster ",1
"21212"," (nicht|nichts|kein|keine|keinen) abfälligstes "," NOT_abfälligstes "," NOT_abfälligstes ",1
"17570"," (nicht|nichts|kein|keine|keinen) abfallkorb "," NOT_abfallkorb "," NOT_abfallkorb ",1
"17571"," (nicht|nichts|kein|keine|keinen) abfallprodukt "," NOT_abfallprodukt "," NOT_abfallprodukt ",1
"17572"," (nicht|nichts|kein|keine|keinen) abfallquote "," NOT_abfallquote "," NOT_abfallquote ",1
"17573"," (nicht|nichts|kein|keine|keinen) abfalls "," NOT_abfalls "," NOT_abfalls ",1
"17574"," (nicht|nichts|kein|keine|keinen) abfallstoff "," NOT_abfallstoff "," NOT_abfallstoff ",1
"17575"," (nicht|nichts|kein|keine|keinen) abfallstoffe "," NOT_abfallstoffe "," NOT_abfallstoffe ",1
"17577"," (nicht|nichts|kein|keine|keinen) abfallstück "," NOT_abfallstück "," NOT_abfallstück ",1
"17576"," (nicht|nichts|kein|keine|keinen) abfallstutzen "," NOT_abfallstutzen "," NOT_abfallstutzen ",1
"1"," (nicht|nichts|kein|keine|keinen) abfangschirm "," NOT_abfangschirm "," NOT_abfangschirm ",-1
"21195"," (nicht|nichts|kein|keine|keinen) abflauen "," NOT_abflauen "," NOT_abflauen ",1
"17578"," (nicht|nichts|kein|keine|keinen) abfluss "," NOT_abfluss "," NOT_abfluss ",1
"17579"," (nicht|nichts|kein|keine|keinen) abflussgraben "," NOT_abflussgraben "," NOT_abflussgraben ",1
"17580"," (nicht|nichts|kein|keine|keinen) abforderung "," NOT_abforderung "," NOT_abforderung ",1
"17581"," (nicht|nichts|kein|keine|keinen) abformung "," NOT_abformung "," NOT_abformung ",1
"17582"," (nicht|nichts|kein|keine|keinen) abfuhr "," NOT_abfuhr "," NOT_abfuhr ",1
"21213"," (nicht|nichts|kein|keine|keinen) abführ "," NOT_abführ "," NOT_abführ ",1
"21214"," (nicht|nichts|kein|keine|keinen) abführe "," NOT_abführe "," NOT_abführe ",1
"17583"," (nicht|nichts|kein|keine|keinen) abfuhren "," NOT_abfuhren "," NOT_abfuhren ",1
"21215"," (nicht|nichts|kein|keine|keinen) abführen "," NOT_abführen "," NOT_abführen ",1
"21216"," (nicht|nichts|kein|keine|keinen) abführest "," NOT_abführest "," NOT_abführest ",1
"21217"," (nicht|nichts|kein|keine|keinen) abführet "," NOT_abführet "," NOT_abführet ",1
"21218"," (nicht|nichts|kein|keine|keinen) abführst "," NOT_abführst "," NOT_abführst ",1
"21219"," (nicht|nichts|kein|keine|keinen) abführt "," NOT_abführt "," NOT_abführt ",1
"21220"," (nicht|nichts|kein|keine|keinen) abführte "," NOT_abführte "," NOT_abführte ",1
"21221"," (nicht|nichts|kein|keine|keinen) abführten "," NOT_abführten "," NOT_abführten ",1
"21222"," (nicht|nichts|kein|keine|keinen) abführtest "," NOT_abführtest "," NOT_abführtest ",1
"21223"," (nicht|nichts|kein|keine|keinen) abführtet "," NOT_abführtet "," NOT_abführtet ",1
"17587"," (nicht|nichts|kein|keine|keinen) abgang "," NOT_abgang "," NOT_abgang ",1
"17588"," (nicht|nichts|kein|keine|keinen) abgas "," NOT_abgas "," NOT_abgas ",1
"17589"," (nicht|nichts|kein|keine|keinen) abgaskanal "," NOT_abgaskanal "," NOT_abgaskanal ",1
"21224"," (nicht|nichts|kein|keine|keinen) abgearbeitet "," NOT_abgearbeitet "," NOT_abgearbeitet ",1
"21225"," (nicht|nichts|kein|keine|keinen) abgebrannt "," NOT_abgebrannt "," NOT_abgebrannt ",1
"21226"," (nicht|nichts|kein|keine|keinen) abgebrochen "," NOT_abgebrochen "," NOT_abgebrochen ",1
"21227"," (nicht|nichts|kein|keine|keinen) abgebrüht "," NOT_abgebrüht "," NOT_abgebrüht ",1
"21228"," (nicht|nichts|kein|keine|keinen) abgedankt "," NOT_abgedankt "," NOT_abgedankt ",1
"21229"," (nicht|nichts|kein|keine|keinen) abgedroschen "," NOT_abgedroschen "," NOT_abgedroschen ",1
"21230"," (nicht|nichts|kein|keine|keinen) abgedroschene "," NOT_abgedroschene "," NOT_abgedroschene ",1
"21231"," (nicht|nichts|kein|keine|keinen) abgedroschenem "," NOT_abgedroschenem "," NOT_abgedroschenem ",1
"21232"," (nicht|nichts|kein|keine|keinen) abgedroschenen "," NOT_abgedroschenen "," NOT_abgedroschenen ",1
"21233"," (nicht|nichts|kein|keine|keinen) abgedroschener "," NOT_abgedroschener "," NOT_abgedroschener ",1
"21234"," (nicht|nichts|kein|keine|keinen) abgedroschenere "," NOT_abgedroschenere "," NOT_abgedroschenere ",1
"21235"," (nicht|nichts|kein|keine|keinen) abgedroschenerem "," NOT_abgedroschenerem "," NOT_abgedroschenerem ",1
"21236"," (nicht|nichts|kein|keine|keinen) abgedroscheneren "," NOT_abgedroscheneren "," NOT_abgedroscheneren ",1
"21237"," (nicht|nichts|kein|keine|keinen) abgedroschenerer "," NOT_abgedroschenerer "," NOT_abgedroschenerer ",1
"21238"," (nicht|nichts|kein|keine|keinen) abgedroscheneres "," NOT_abgedroscheneres "," NOT_abgedroscheneres ",1
"21239"," (nicht|nichts|kein|keine|keinen) abgedroschenes "," NOT_abgedroschenes "," NOT_abgedroschenes ",1
"21240"," (nicht|nichts|kein|keine|keinen) abgedroschenst "," NOT_abgedroschenst "," NOT_abgedroschenst ",1
"21241"," (nicht|nichts|kein|keine|keinen) abgedroschenste "," NOT_abgedroschenste "," NOT_abgedroschenste ",1
"21242"," (nicht|nichts|kein|keine|keinen) abgedroschenstem "," NOT_abgedroschenstem "," NOT_abgedroschenstem ",1
"21243"," (nicht|nichts|kein|keine|keinen) abgedroschensten "," NOT_abgedroschensten "," NOT_abgedroschensten ",1
"21244"," (nicht|nichts|kein|keine|keinen) abgedroschenster "," NOT_abgedroschenster "," NOT_abgedroschenster ",1
"21245"," (nicht|nichts|kein|keine|keinen) abgedroschenstes "," NOT_abgedroschenstes "," NOT_abgedroschenstes ",1
"21246"," (nicht|nichts|kein|keine|keinen) abgedroschner "," NOT_abgedroschner "," NOT_abgedroschner ",1
"21247"," (nicht|nichts|kein|keine|keinen) abgedroschnere "," NOT_abgedroschnere "," NOT_abgedroschnere ",1
"21248"," (nicht|nichts|kein|keine|keinen) abgedroschnerem "," NOT_abgedroschnerem "," NOT_abgedroschnerem ",1
"21249"," (nicht|nichts|kein|keine|keinen) abgedroschneren "," NOT_abgedroschneren "," NOT_abgedroschneren ",1
"21250"," (nicht|nichts|kein|keine|keinen) abgedroschnerer "," NOT_abgedroschnerer "," NOT_abgedroschnerer ",1
"21251"," (nicht|nichts|kein|keine|keinen) abgedroschneres "," NOT_abgedroschneres "," NOT_abgedroschneres ",1
"2004"," (nicht|nichts|kein|keine|keinen) abgefahren "," NOT_abgefahren "," NOT_abgefahren ",-1
"21252"," (nicht|nichts|kein|keine|keinen) abgeführt "," NOT_abgeführt "," NOT_abgeführt ",1
"21253"," (nicht|nichts|kein|keine|keinen) abgehackt "," NOT_abgehackt "," NOT_abgehackt ",1
"21255"," (nicht|nichts|kein|keine|keinen) abgehärmt "," NOT_abgehärmt "," NOT_abgehärmt ",1
"21256"," (nicht|nichts|kein|keine|keinen) abgehärtet "," NOT_abgehärtet "," NOT_abgehärtet ",1
"2005"," (nicht|nichts|kein|keine|keinen) abgeheilt "," NOT_abgeheilt "," NOT_abgeheilt ",-1
"2006"," (nicht|nichts|kein|keine|keinen) abgehend "," NOT_abgehend "," NOT_abgehend ",-1
"21254"," (nicht|nichts|kein|keine|keinen) abgehoben "," NOT_abgehoben "," NOT_abgehoben ",1
"21257"," (nicht|nichts|kein|keine|keinen) abgekämpft "," NOT_abgekämpft "," NOT_abgekämpft ",1
"2"," (nicht|nichts|kein|keine|keinen) abgeklärtheit "," NOT_abgeklärtheit "," NOT_abgeklärtheit ",-1
"2007"," (nicht|nichts|kein|keine|keinen) abgelagert "," NOT_abgelagert "," NOT_abgelagert ",-1
"21258"," (nicht|nichts|kein|keine|keinen) abgelaufen "," NOT_abgelaufen "," NOT_abgelaufen ",1
"21259"," (nicht|nichts|kein|keine|keinen) abgelegen "," NOT_abgelegen "," NOT_abgelegen ",1
"21260"," (nicht|nichts|kein|keine|keinen) abgelehnt "," NOT_abgelehnt "," NOT_abgelehnt ",1
"21261"," (nicht|nichts|kein|keine|keinen) abgelenkt "," NOT_abgelenkt "," NOT_abgelenkt ",1
"21262"," (nicht|nichts|kein|keine|keinen) abgelten "," NOT_abgelten "," NOT_abgelten ",1
"2008"," (nicht|nichts|kein|keine|keinen) abgemacht "," NOT_abgemacht "," NOT_abgemacht ",-1
"21263"," (nicht|nichts|kein|keine|keinen) abgemagert "," NOT_abgemagert "," NOT_abgemagert ",1
"21264"," (nicht|nichts|kein|keine|keinen) abgemergelt "," NOT_abgemergelt "," NOT_abgemergelt ",1
"21265"," (nicht|nichts|kein|keine|keinen) abgeneigt "," NOT_abgeneigt "," NOT_abgeneigt ",1
"21266"," (nicht|nichts|kein|keine|keinen) abgenutzt "," NOT_abgenutzt "," NOT_abgenutzt ",1
"21267"," (nicht|nichts|kein|keine|keinen) abgerissen "," NOT_abgerissen "," NOT_abgerissen ",1
"21268"," (nicht|nichts|kein|keine|keinen) abgeschieden "," NOT_abgeschieden "," NOT_abgeschieden ",1
"17590"," (nicht|nichts|kein|keine|keinen) abgeschiedenheit "," NOT_abgeschiedenheit "," NOT_abgeschiedenheit ",1
"17591"," (nicht|nichts|kein|keine|keinen) abgeschlagenheit "," NOT_abgeschlagenheit "," NOT_abgeschlagenheit ",1
"21269"," (nicht|nichts|kein|keine|keinen) abgeschliffen "," NOT_abgeschliffen "," NOT_abgeschliffen ",1
"21270"," (nicht|nichts|kein|keine|keinen) abgeschlossen "," NOT_abgeschlossen "," NOT_abgeschlossen ",1
"3"," (nicht|nichts|kein|keine|keinen) abgeschlossenheit "," NOT_abgeschlossenheit "," NOT_abgeschlossenheit ",-1
"21271"," (nicht|nichts|kein|keine|keinen) abgeschmackt "," NOT_abgeschmackt "," NOT_abgeschmackt ",1
"21272"," (nicht|nichts|kein|keine|keinen) abgeschnitten "," NOT_abgeschnitten "," NOT_abgeschnitten ",1
"21273"," (nicht|nichts|kein|keine|keinen) abgeschottet "," NOT_abgeschottet "," NOT_abgeschottet ",1
"21274"," (nicht|nichts|kein|keine|keinen) abgeschreckt "," NOT_abgeschreckt "," NOT_abgeschreckt ",1
"21275"," (nicht|nichts|kein|keine|keinen) abgeschwächt "," NOT_abgeschwächt "," NOT_abgeschwächt ",1
"21276"," (nicht|nichts|kein|keine|keinen) abgesehen "," NOT_abgesehen "," NOT_abgesehen ",1
"2010"," (nicht|nichts|kein|keine|keinen) abgesichert "," NOT_abgesichert "," NOT_abgesichert ",-1
"21277"," (nicht|nichts|kein|keine|keinen) abgesondert "," NOT_abgesondert "," NOT_abgesondert ",1
"21278"," (nicht|nichts|kein|keine|keinen) abgespannt "," NOT_abgespannt "," NOT_abgespannt ",1
"17592"," (nicht|nichts|kein|keine|keinen) abgespanntheit "," NOT_abgespanntheit "," NOT_abgespanntheit ",1
"21279"," (nicht|nichts|kein|keine|keinen) abgestanden "," NOT_abgestanden "," NOT_abgestanden ",1
"21280"," (nicht|nichts|kein|keine|keinen) abgestandene "," NOT_abgestandene "," NOT_abgestandene ",1
"21281"," (nicht|nichts|kein|keine|keinen) abgestandenem "," NOT_abgestandenem "," NOT_abgestandenem ",1
"21282"," (nicht|nichts|kein|keine|keinen) abgestandenen "," NOT_abgestandenen "," NOT_abgestandenen ",1
"21283"," (nicht|nichts|kein|keine|keinen) abgestandener "," NOT_abgestandener "," NOT_abgestandener ",1
"21284"," (nicht|nichts|kein|keine|keinen) abgestandenere "," NOT_abgestandenere "," NOT_abgestandenere ",1
"21285"," (nicht|nichts|kein|keine|keinen) abgestandenerem "," NOT_abgestandenerem "," NOT_abgestandenerem ",1
"21286"," (nicht|nichts|kein|keine|keinen) abgestandeneren "," NOT_abgestandeneren "," NOT_abgestandeneren ",1
"21287"," (nicht|nichts|kein|keine|keinen) abgestandenerer "," NOT_abgestandenerer "," NOT_abgestandenerer ",1
"21288"," (nicht|nichts|kein|keine|keinen) abgestandeneres "," NOT_abgestandeneres "," NOT_abgestandeneres ",1
"21289"," (nicht|nichts|kein|keine|keinen) abgestandenes "," NOT_abgestandenes "," NOT_abgestandenes ",1
"21290"," (nicht|nichts|kein|keine|keinen) abgestandenst "," NOT_abgestandenst "," NOT_abgestandenst ",1
"21291"," (nicht|nichts|kein|keine|keinen) abgestandenste "," NOT_abgestandenste "," NOT_abgestandenste ",1
"21292"," (nicht|nichts|kein|keine|keinen) abgestandenstem "," NOT_abgestandenstem "," NOT_abgestandenstem ",1
"21293"," (nicht|nichts|kein|keine|keinen) abgestandensten "," NOT_abgestandensten "," NOT_abgestandensten ",1
"21294"," (nicht|nichts|kein|keine|keinen) abgestandenster "," NOT_abgestandenster "," NOT_abgestandenster ",1
"21295"," (nicht|nichts|kein|keine|keinen) abgestandenstes "," NOT_abgestandenstes "," NOT_abgestandenstes ",1
"21296"," (nicht|nichts|kein|keine|keinen) abgestandner "," NOT_abgestandner "," NOT_abgestandner ",1
"21297"," (nicht|nichts|kein|keine|keinen) abgestandnere "," NOT_abgestandnere "," NOT_abgestandnere ",1
"21298"," (nicht|nichts|kein|keine|keinen) abgestandnerem "," NOT_abgestandnerem "," NOT_abgestandnerem ",1
"21299"," (nicht|nichts|kein|keine|keinen) abgestandneren "," NOT_abgestandneren "," NOT_abgestandneren ",1
"21300"," (nicht|nichts|kein|keine|keinen) abgestandnerer "," NOT_abgestandnerer "," NOT_abgestandnerer ",1
"21301"," (nicht|nichts|kein|keine|keinen) abgestandneres "," NOT_abgestandneres "," NOT_abgestandneres ",1
"2011"," (nicht|nichts|kein|keine|keinen) abgestimmt "," NOT_abgestimmt "," NOT_abgestimmt ",-1
"21302"," (nicht|nichts|kein|keine|keinen) abgestorben "," NOT_abgestorben "," NOT_abgestorben ",1
"21303"," (nicht|nichts|kein|keine|keinen) abgestoßen "," NOT_abgestoßen "," NOT_abgestoßen ",1
"21304"," (nicht|nichts|kein|keine|keinen) abgestuft "," NOT_abgestuft "," NOT_abgestuft ",1
"21305"," (nicht|nichts|kein|keine|keinen) abgestumpft "," NOT_abgestumpft "," NOT_abgestumpft ",1
"17593"," (nicht|nichts|kein|keine|keinen) abgestumpftheit "," NOT_abgestumpftheit "," NOT_abgestumpftheit ",1
"21306"," (nicht|nichts|kein|keine|keinen) abgestürzt "," NOT_abgestürzt "," NOT_abgestürzt ",1
"21307"," (nicht|nichts|kein|keine|keinen) abgetakelt "," NOT_abgetakelt "," NOT_abgetakelt ",1
"21308"," (nicht|nichts|kein|keine|keinen) abgetakelte "," NOT_abgetakelte "," NOT_abgetakelte ",1
"21309"," (nicht|nichts|kein|keine|keinen) abgetakeltem "," NOT_abgetakeltem "," NOT_abgetakeltem ",1
"21310"," (nicht|nichts|kein|keine|keinen) abgetakelten "," NOT_abgetakelten "," NOT_abgetakelten ",1
"21311"," (nicht|nichts|kein|keine|keinen) abgetakelter "," NOT_abgetakelter "," NOT_abgetakelter ",1
"21312"," (nicht|nichts|kein|keine|keinen) abgetakeltere "," NOT_abgetakeltere "," NOT_abgetakeltere ",1
"21313"," (nicht|nichts|kein|keine|keinen) abgetakelterem "," NOT_abgetakelterem "," NOT_abgetakelterem ",1
"21314"," (nicht|nichts|kein|keine|keinen) abgetakelteren "," NOT_abgetakelteren "," NOT_abgetakelteren ",1
"21315"," (nicht|nichts|kein|keine|keinen) abgetakelterer "," NOT_abgetakelterer "," NOT_abgetakelterer ",1
"21316"," (nicht|nichts|kein|keine|keinen) abgetakelteres "," NOT_abgetakelteres "," NOT_abgetakelteres ",1
"21317"," (nicht|nichts|kein|keine|keinen) abgetakeltes "," NOT_abgetakeltes "," NOT_abgetakeltes ",1
"21318"," (nicht|nichts|kein|keine|keinen) abgetakeltst "," NOT_abgetakeltst "," NOT_abgetakeltst ",1
"21319"," (nicht|nichts|kein|keine|keinen) abgetakeltste "," NOT_abgetakeltste "," NOT_abgetakeltste ",1
"21320"," (nicht|nichts|kein|keine|keinen) abgetakeltstem "," NOT_abgetakeltstem "," NOT_abgetakeltstem ",1
"21321"," (nicht|nichts|kein|keine|keinen) abgetakeltsten "," NOT_abgetakeltsten "," NOT_abgetakeltsten ",1
"21322"," (nicht|nichts|kein|keine|keinen) abgetakeltster "," NOT_abgetakeltster "," NOT_abgetakeltster ",1
"21323"," (nicht|nichts|kein|keine|keinen) abgetakeltstes "," NOT_abgetakeltstes "," NOT_abgetakeltstes ",1
"21324"," (nicht|nichts|kein|keine|keinen) abgeteilt "," NOT_abgeteilt "," NOT_abgeteilt ",1
"21325"," (nicht|nichts|kein|keine|keinen) abgetragen "," NOT_abgetragen "," NOT_abgetragen ",1
"21326"," (nicht|nichts|kein|keine|keinen) abgewertet "," NOT_abgewertet "," NOT_abgewertet ",1
"21327"," (nicht|nichts|kein|keine|keinen) abgewinkelt "," NOT_abgewinkelt "," NOT_abgewinkelt ",1
"2012"," (nicht|nichts|kein|keine|keinen) abgeworben "," NOT_abgeworben "," NOT_abgeworben ",-1
"21328"," (nicht|nichts|kein|keine|keinen) abgezehrt "," NOT_abgezehrt "," NOT_abgezehrt ",1
"4"," (nicht|nichts|kein|keine|keinen) abgleich "," NOT_abgleich "," NOT_abgleich ",-1
"2013"," (nicht|nichts|kein|keine|keinen) abgleichen "," NOT_abgleichen "," NOT_abgleichen ",-1
"21329"," (nicht|nichts|kein|keine|keinen) abgleiten "," NOT_abgleiten "," NOT_abgleiten ",1
"5"," (nicht|nichts|kein|keine|keinen) abgott "," NOT_abgott "," NOT_abgott ",-1
"17594"," (nicht|nichts|kein|keine|keinen) abgrabung "," NOT_abgrabung "," NOT_abgrabung ",1
"21330"," (nicht|nichts|kein|keine|keinen) abgrenzen "," NOT_abgrenzen "," NOT_abgrenzen ",1
"17595"," (nicht|nichts|kein|keine|keinen) abgrenzung "," NOT_abgrenzung "," NOT_abgrenzung ",1
"17596"," (nicht|nichts|kein|keine|keinen) abgrund "," NOT_abgrund "," NOT_abgrund ",1
"21332"," (nicht|nichts|kein|keine|keinen) abgründig "," NOT_abgründig "," NOT_abgründig ",1
"21333"," (nicht|nichts|kein|keine|keinen) abgründige "," NOT_abgründige "," NOT_abgründige ",1
"21334"," (nicht|nichts|kein|keine|keinen) abgründigem "," NOT_abgründigem "," NOT_abgründigem ",1
"21335"," (nicht|nichts|kein|keine|keinen) abgründigen "," NOT_abgründigen "," NOT_abgründigen ",1
"21336"," (nicht|nichts|kein|keine|keinen) abgründiger "," NOT_abgründiger "," NOT_abgründiger ",1
"21337"," (nicht|nichts|kein|keine|keinen) abgründigere "," NOT_abgründigere "," NOT_abgründigere ",1
"21338"," (nicht|nichts|kein|keine|keinen) abgründigerem "," NOT_abgründigerem "," NOT_abgründigerem ",1
